Fecha,Producto,Cantidad,Precio Unitario,Total Venta
10/9/2023,Electrónic,3,200,600
10/1/2023,Electrónic,9,200,1800
5/24/2023,Juguetes,4,30,120
10/21/2023,Alimentos,1,10,10
12/20/2023,Ropa,5,50,250
11/1/2023,Alimentos,4,10,40
4/20/2023,Juguetes,10,30,300
4/1/2023,Alimentos,4,10,40
8/19/2023,Libros,10,20,200
4/4/2023,Libros,8,20,160
11/9/2023,Ropa,4,50,200
9/25/2023,Ropa,6,50,300
4/26/2023,Libros,7,20,140
11/4/2023,Ropa,9,50,450
11/22/2023,Juguetes,7,30,210
4/18/2023,Alimentos,10,10,100
8/23/2023,Electrónic,5,200,1000
4/30/2023,Electrónic,2,200,400
4/13/2023,Ropa,7,50,350
3/15/2023,Electrónic,9,200,1800
6/9/2023,Juguetes,9,30,270
4/10/2023,Libros,9,20,180
10/9/2023,Libros,6,20,120
8/30/2023,Ropa,7,50,350
6/23/2023,Juguetes,1,30,30
7/29/2023,Juguetes,2,30,60
9/19/2023,Alimentos,10,10,100
8/29/2023,Juguetes,10,30,300
3/5/2023,Alimentos,6,10,60
10/16/2023,Juguetes,10,30,300
5/17/2023,Libros,10,20,200
1/25/2023,Electrónic,7,200,1400
10/29/2023,Libros,6,20,120
8/4/2023,Ropa,8,50,400
1/28/2023,Juguetes,1,30,30
8/27/2023,Alimentos,10,10,100
6/27/2023,Juguetes,1,30,30
3/10/2023,Juguetes,9,30,270
4/13/2023,Libros,9,20,180
10/31/2023,Ropa,2,50,100
9/13/2023,Libros,1,20,20
10/29/2023,Ropa,6,50,300
9/28/2023,Alimentos,9,10,90
8/30/2023,Alimentos,5,10,50
1/8/2023,Alimentos,5,10,50
8/5/2023,Alimentos,2,10,20
1/12/2023,Juguetes,5,30,150
4/11/2023,Juguetes,4,30,120
4/12/2023,Juguetes,3,30,90
8/11/2023,Alimentos,6,10,60
6/17/2023,Alimentos,9,10,90
9/11/2023,Electrónic,7,200,1400
8/8/2023,Electrónic,8,200,1600
1/18/2023,Juguetes,3,30,90
1/16/2023,Libros,1,20,20
10/5/2023,Electrónic,1,200,200
6/22/2023,Alimentos,9,10,90
1/12/2023,Electrónic,7,200,1400
12/16/2023,Electrónic,5,200,1000
8/3/2023,Juguetes,3,30,90
2/8/2023,Libros,4,20,80
10/19/2023,Ropa,8,50,400
9/10/2023,Libros,4,20,80
8/24/2023,Libros,6,20,120
2/28/2023,Ropa,8,50,400
12/23/2023,Alimentos,10,10,100
12/10/2023,Alimentos,6,10,60
12/30/2023,Electrónic,4,200,800
3/13/2023,Libros,9,20,180
9/5/2023,Alimentos,10,10,100
2/20/2023,Alimentos,5,10,50
11/28/2023,Juguetes,7,30,210
8/26/2023,Libros,5,20,100
3/5/2023,Ropa,7,50,350
3/12/2023,Juguetes,7,30,210
11/29/2023,Alimentos,10,10,100
4/3/2023,Alimentos,1,10,10
10/25/2023,Alimentos,10,10,100
2/11/2023,Juguetes,5,30,150
5/21/2023,Alimentos,8,10,80
10/21/2023,Electrónic,4,200,800
2/19/2023,Libros,3,20,60
7/22/2023,Juguetes,4,30,120
8/3/2023,Juguetes,6,30,180
10/11/2023,Juguetes,7,30,210
2/21/2023,Electrónic,9,200,1800
3/11/2023,Alimentos,8,10,80
10/4/2023,Juguetes,3,30,90
10/26/2023,Juguetes,10,30,300
5/17/2023,Alimentos,1,10,10
11/3/2023,Electrónic,9,200,1800
4/14/2023,Juguetes,9,30,270
5/1/2023,Libros,4,20,80
11/26/2023,Alimentos,1,10,10
10/11/2023,Ropa,5,50,250
8/21/2023,Ropa,2,50,100
5/11/2023,Alimentos,7,10,70
7/20/2023,Libros,5,20,100
6/23/2023,Electrónic,3,200,600
8/29/2023,Juguetes,7,30,210
3/13/2023,Ropa,4,50,200
5/16/2023,Juguetes,5,30,150
6/15/2023,Juguetes,1,30,30
10/9/2023,Electrónic,4,200,800
8/25/2023,Ropa,7,50,350
6/30/2023,Juguetes,3,30,90
4/7/2023,Juguetes,5,30,150
10/23/2023,Alimentos,4,10,40
11/30/2023,Alimentos,2,10,20
4/26/2023,Alimentos,6,10,60
1/4/2023,Ropa,6,50,300
8/14/2023,Ropa,1,50,50
1/16/2023,Alimentos,5,10,50
9/24/2023,Alimentos,2,10,20
1/8/2023,Electrónic,2,200,400
8/14/2023,Ropa,4,50,200
5/14/2023,Electrónic,9,200,1800
1/3/2023,Alimentos,8,10,80
3/30/2023,Libros,4,20,80
1/24/2023,Electrónic,8,200,1600
9/11/2023,Electrónic,3,200,600
8/31/2023,Libros,8,20,160
7/15/2023,Electrónic,6,200,1200
1/27/2023,Juguetes,3,30,90
9/12/2023,Ropa,8,50,400
9/27/2023,Alimentos,1,10,10
8/10/2023,Alimentos,7,10,70
3/2/2023,Juguetes,10,30,300
1/27/2023,Alimentos,9,10,90
3/3/2023,Libros,3,20,60
3/20/2023,Juguetes,6,30,180
2/6/2023,Juguetes,2,30,60
3/22/2023,Libros,5,20,100
11/8/2023,Electrónic,4,200,800
1/23/2023,Ropa,7,50,350
2/17/2023,Electrónic,7,200,1400
11/16/2023,Ropa,10,50,500
9/20/2023,Libros,9,20,180
10/17/2023,Ropa,2,50,100
7/21/2023,Libros,2,20,40
6/16/2023,Alimentos,4,10,40
9/27/2023,Alimentos,8,10,80
6/5/2023,Alimentos,3,10,30
2/13/2023,Libros,10,20,200
4/5/2023,Ropa,10,50,500
1/3/2023,Ropa,5,50,250
12/31/2023,Libros,8,20,160
5/4/2023,Alimentos,4,10,40
3/29/2023,Electrónic,3,200,600
2/24/2023,Ropa,7,50,350
5/14/2023,Ropa,5,50,250
2/2/2023,Alimentos,7,10,70
1/11/2023,Electrónic,5,200,1000
1/7/2023,Juguetes,4,30,120
6/29/2023,Libros,4,20,80
7/16/2023,Libros,5,20,100
2/13/2023,Ropa,2,50,100
12/19/2023,Alimentos,3,10,30
3/18/2023,Libros,6,20,120
2/28/2023,Libros,1,20,20
4/7/2023,Libros,1,20,20
8/31/2023,Alimentos,7,10,70
5/30/2023,Ropa,8,50,400
7/16/2023,Ropa,9,50,450
7/3/2023,Libros,5,20,100
3/26/2023,Juguetes,7,30,210
1/11/2023,Alimentos,6,10,60
12/3/2023,Electrónic,5,200,1000
3/30/2023,Alimentos,10,10,100
4/14/2023,Libros,2,20,40
4/29/2023,Alimentos,4,10,40
2/5/2023,Alimentos,4,10,40
12/7/2023,Alimentos,9,10,90
11/20/2023,Electrónic,9,200,1800
12/29/2023,Juguetes,9,30,270
7/8/2023,Juguetes,2,30,60
6/9/2023,Juguetes,7,30,210
10/7/2023,Juguetes,5,30,150
11/29/2023,Ropa,5,50,250
3/23/2023,Electrónic,3,200,600
3/27/2023,Juguetes,7,30,210
3/23/2023,Electrónic,1,200,200
1/1/2023,Alimentos,2,10,20
3/4/2023,Electrónic,4,200,800
7/19/2023,Ropa,1,50,50
12/26/2023,Electrónic,6,200,1200
9/28/2023,Libros,8,20,160
12/13/2023,Electrónic,2,200,400
5/25/2023,Alimentos,8,10,80
5/11/2023,Libros,9,20,180
8/12/2023,Juguetes,5,30,150
10/31/2023,Alimentos,8,10,80
9/5/2023,Libros,5,20,100
4/7/2023,Juguetes,6,30,180
4/20/2023,Juguetes,3,30,90
6/22/2023,Electrónic,7,200,1400
8/14/2023,Ropa,4,50,200
6/14/2023,Ropa,5,50,250
10/14/2023,Libros,1,20,20
2/9/2023,Electrónic,2,200,400
6/8/2023,Libros,3,20,60
7/10/2023,Juguetes,5,30,150
12/17/2023,Libros,9,20,180
8/29/2023,Alimentos,9,10,90
8/20/2023,Alimentos,2,10,20
12/20/2023,Ropa,9,50,450
1/8/2023,Ropa,7,50,350
8/19/2023,Alimentos,2,10,20
5/26/2023,Libros,3,20,60
2/9/2023,Electrónic,1,200,200
8/6/2023,Libros,9,20,180
2/28/2023,Electrónic,9,200,1800
2/14/2023,Electrónic,8,200,1600
2/25/2023,Libros,8,20,160
9/14/2023,Alimentos,4,10,40
1/28/2023,Ropa,8,50,400
1/27/2023,Electrónic,4,200,800
8/23/2023,Libros,8,20,160
9/24/2023,Juguetes,4,30,120
5/12/2023,Alimentos,9,10,90
5/6/2023,Juguetes,9,30,270
5/7/2023,Electrónic,8,200,1600
7/23/2023,Alimentos,2,10,20
5/23/2023,Alimentos,4,10,40
5/4/2023,Alimentos,7,10,70
8/24/2023,Ropa,6,50,300
4/9/2023,Electrónic,10,200,2000
1/5/2023,Electrónic,2,200,400
6/7/2023,Libros,9,20,180
1/10/2023,Alimentos,2,10,20
8/10/2023,Libros,6,20,120
8/30/2023,Ropa,3,50,150
1/23/2023,Libros,5,20,100
6/15/2023,Juguetes,5,30,150
1/24/2023,Libros,7,20,140
12/2/2023,Libros,5,20,100
9/27/2023,Ropa,6,50,300
8/26/2023,Juguetes,2,30,60
5/6/2023,Libros,7,20,140
12/6/2023,Alimentos,10,10,100
9/11/2023,Alimentos,6,10,60
1/31/2023,Ropa,4,50,200
3/22/2023,Libros,1,20,20
8/12/2023,Alimentos,9,10,90
10/29/2023,Juguetes,4,30,120
4/27/2023,Alimentos,2,10,20
6/9/2023,Ropa,10,50,500
8/21/2023,Alimentos,8,10,80
3/28/2023,Electrónic,6,200,1200
3/7/2023,Electrónic,4,200,800
